fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2
782,plate,0.6281,plate_4,790,425,874,445
789,plate,0.6877,plate_6,663,454,761,476
793,plate,0.8446,plate_9,546,479,668,509
1050,plate,0.7712,plate_33,731,450,816,474
1051,plate,0.7260,plate_33,701,453,796,478
1052,plate,0.6447,plate_33,668,459,771,485
1053,plate,0.6463,plate_33,637,466,742,495
1054,plate,0.8706,plate_33,603,475,712,504
1055,plate,0.6895,plate_33,568,484,681,512
1056,plate,0.7628,plate_33,528,491,645,522
1057,plate,0.7996,plate_33,481,504,607,536
1058,plate,0.8039,plate_33,431,514,563,549
1059,plate,0.7540,plate_33,373,527,512,563
1679,plate,0.7500,plate_112,1473,474,1564,498
1680,plate,0.8329,plate_112,1493,481,1582,505
1714,plate,0.7736,plate_121,775,421,854,440
1795,plate,0.8004,plate_134,745,451,835,474
1799,plate,0.8917,plate_137,640,477,744,501
1800,plate,0.7506,plate_137,610,482,715,509
1801,plate,0.4936,plate_137,576,489,689,517
1802,plate,0.8883,plate_137,536,502,653,528
1803,plate,0.9099,plate_137,491,510,617,539
1804,plate,0.6391,plate_137,446,518,578,554
1805,plate,0.8996,plate_137,394,533,532,567
1806,plate,0.6500,plate_137,338,547,476,583
1807,plate,0.8929,plate_137,272,566,421,604
1808,plate,0.7639,plate_137,194,582,357,626
2132,plate,0.7649,plate_154,684,451,784,472
2133,plate,0.5896,plate_154,660,452,768,476
2137,plate,0.8710,plate_157,565,475,681,503
2138,plate,0.7308,plate_157,538,481,656,511
2139,plate,0.4815,plate_157,502,488,621,520
2140,plate,0.7585,plate_157,464,498,588,528
2141,plate,0.8263,plate_157,423,507,557,539
2142,plate,0.6117,plate_157,385,515,522,552
2143,plate,0.8472,plate_157,334,528,479,566
2144,plate,0.8585,plate_157,281,538,439,580
2145,plate,0.8254,plate_157,222,550,389,594
2146,plate,0.8316,plate_157,162,566,338,612
2147,plate,0.6581,plate_157,96,583,271,631
2148,plate,0.7924,plate_157,18,597,201,653
2629,plate,0.7181,plate_181,1428,541,1532,564
