identificador_tracking,frame,texto,confianza,tiempo
plate_4,782,,0.0,0.3321702480316162
plate_6,789,,0.0,0.0806422233581543
plate_9,793,7a,0.08203161857833181,0.13752102851867676
plate_33,1050,,0.0,0.046349287033081055
plate_112,1679,,0.0,0.03679013252258301
plate_121,1714,,0.0,0.0749671459197998
plate_134,1795,,0.0,0.03825092315673828
plate_137,1799,,0.0,0.029050111770629883
plate_154,2132,,0.0,0.07301735877990723
plate_157,2137,,0.0,0.042321205139160156
plate_181,2629,Bt,0.00186293930294686,0.15184688568115234
